N,P,K,target
72.54,161.42,15.02,Tomato
89.87,129.15,24.78,Tomato
92.6,59.9,98.29,Tomato
77.17,48.03,79.11,Tomato
105.72,104.39,52.45,Tomato
79.42,4.9,15.21,Tomato
73.26,59.23,18.78,Tomato
89.2,101.99,49.86,Tomato
63.6,3.66,49.33,Tomato
76.17,77.79,76.01,Tomato
80.88,87.79,76.03,Tomato
85.13,102.75,49.81,Tomato
85.94,119.32,74.7,Tomato
85.73,65.31,82.8,Tomato
97.36,49.28,99.88,Tomato
70.85,129.8,77.79,Tomato
81.47,55.04,165.78,Tomato
76.61,10.68,95.74,Tomato
82.45,93.03,63.49,Tomato
60.62,67.23,86.52,Tomato
87.2,119.12,64.99,Tomato
88.36,144.91,60.06,Tomato
77.78,84.12,-14.19,Tomato
80.22,86.59,73.61,Tomato
88.13,72.71,31.16,Tomato
82.71,-30.71,118.1,Tomato
93.78,103.1,46.02,Tomato
87.8,176.84,83.26,Tomato
72.72,55.96,87.81,Tomato
74.55,30.93,43.54,Tomato
85.37,96.9,71.7,Tomato
85.24,104.62,95.01,Tomato
66.63,99.46,81.54,Tomato
85.1,67.6,65.26,Tomato
90.63,74.27,53.14,Tomato
83.79,62.62,24.55,Tomato
71.34,112.35,-7.37,Tomato
83.56,151.27,34.38,Tomato
68.59,119.82,32.19,Tomato
86.19,45.86,73.19,Tomato
73.91,-14.43,45.03,Tomato
85.89,84.97,107.1,Tomato
78.26,85.47,38.5,Tomato
87.82,81.55,63.91,Tomato
72.33,48.79,69.18,Tomato
93.88,86.85,60.18,Tomato
67.77,94.62,4.89,Tomato
77.32,113.13,78.44,Tomato
71.26,62.63,98.18,Tomato
78.39,38.89,62.82,Tomato
80.02,184.25,15.6,Tomato
84.28,50.49,8.73,Tomato
75.32,76.13,48.9,Tomato
81.71,78.03,112.85,Tomato
83.25,108.08,132.86,Tomato
77.75,95.27,66.56,Tomato
66.98,151.68,44.64,Tomato
67.62,49.54,46.65,Tomato
91.63,61.99,13.62,Tomato
74.86,139.53,93.16,Tomato
74.0,105.93,49.01,Tomato
81.22,165.79,9.05,Tomato
74.51,51.73,75.52,Tomato
69.23,43.84,8.25,Tomato
93.22,135.26,60.08,Tomato
58.55,11.17,70.91,Tomato
82.26,89.32,59.55,Tomato
70.54,60.66,43.27,Tomato
80.97,60.04,116.78,Tomato
73.2,109.12,13.1,Tomato
86.49,95.54,86.32,Tomato
78.35,34.68,11.88,Tomato
66.5,99.22,97.77,Tomato
83.95,27.99,60.26,Tomato
80.83,108.44,106.92,Tomato
92.7,56.31,51.01,Tomato
58.3,136.04,44.7,Tomato
78.94,101.51,87.99,Tomato
87.51,94.5,140.11,Tomato
60.92,11.02,124.01,Tomato
60.24,94.49,106.04,Tomato
90.62,86.27,31.68,Tomato
77.41,112.94,98.42,Tomato
95.78,12.48,106.5,Tomato
86.64,159.03,36.38,Tomato
86.54,139.11,87.6,Tomato
75.96,76.84,99.67,Tomato
74.86,125.4,56.47,Tomato
67.47,65.46,114.66,Tomato
76.1,76.84,76.21,Tomato
84.22,98.84,15.15,Tomato
92.66,-3.86,24.53,Tomato
74.11,167.81,63.16,Tomato
46.2,95.97,46.01,Tomato
87.72,39.03,14.4,Tomato
84.94,22.3,97.28,Tomato
73.44,0.86,102.48,Tomato
77.15,82.61,92.86,Tomato
79.16,32.81,38.42,Tomato
77.83,125.15,-7.41,Tomato
85.11,80.76,55.97,Tomato
80.9,81.25,68.96,Tomato
107.13,114.35,62.67,Tomato
72.9,22.38,58.98,Tomato
92.6,69.82,118.34,Tomato
78.55,-3.5,89.33,Tomato
73.71,49.84,95.92,Tomato
94.24,-44.57,101.31,Tomato
95.42,66.27,13.79,Tomato
83.23,119.42,56.91,Tomato
71.42,8.38,96.75,Tomato
84.19,107.5,92.98,Tomato
71.19,19.04,12.27,Tomato
64.82,67.58,85.04,Tomato
110.25,142.39,37.88,Tomato
86.71,140.33,88.67,Tomato
81.28,103.03,93.82,Tomato
55.5,76.82,96.48,Tomato
81.7,85.69,34.17,Tomato
83.19,27.65,23.48,Tomato
94.09,112.91,56.67,Tomato
85.04,14.28,73.59,Tomato
93.31,96.72,68.57,Tomato
83.02,76.95,103.69,Tomato
85.42,128.06,55.69,Tomato
84.03,82.92,101.81,Tomato
78.7,43.03,106.1,Tomato
71.0,120.41,97.83,Tomato
69.14,100.85,59.36,Tomato
94.88,31.14,98.46,Tomato
77.64,62.37,43.76,Tomato
80.66,49.16,63.08,Tomato
80.94,64.55,99.38,Tomato
85.47,78.95,103.51,Tomato
75.87,78.02,7.33,Tomato
84.03,90.32,61.29,Tomato
69.18,81.66,1.52,Tomato
88.76,4.81,64.1,Tomato
83.65,56.23,12.45,Tomato
86.44,71.73,73.82,Tomato
87.82,138.68,30.15,Tomato
69.32,49.8,47.63,Tomato
104.32,31.43,16.23,Tomato
97.02,80.45,77.63,Tomato
65.04,67.9,72.1,Tomato
